PROTEIN;TOTAL_FAT;CARBS;ENERGY;FIBER;SATURATED_FAT;SUGARS;NUTRI_SCORE;CLASSIFICATION
0;93.33;0;867;0;13.33;0;0;FALSE
0.83;0;0.42;4;0;0;0.42;5.0605;FALSE
2.45;5.31;6.12;82;0.4;1.02;0.41;4.5795;FALSE
1.22;6.12;5.31;82;0.4;2.45;0.82;3.895;FALSE
0.83;0;0.42;4;0;0;0.42;5.0605;FALSE
3.67;0.61;10.61;61;2.4;0;1.63;5.70975;FALSE
0.85;0;0.43;4;0;0;0.43;5.062;FALSE
1.67;3.33;5.83;58;2.5;0.42;3.33;4.7985;FALSE
1.67;1.25;15;75;0.8;0;9.17;3.89125;FALSE
3.57;2.78;11.51;87;1.2;0.79;3.97;4.68275;FALSE
5.12;0.35;25.88;125;3.5;0.04;11.51;4.66525;FALSE
5.78;1.68;17.55;105;3.4;0.17;2.98;5.86325;FALSE
5.23;0.75;26.12;129;3.6;0.11;11.58;4.63275;FALSE
8.77;2.63;50.88;263;1.8;0;1.75;6.08425;TRUE
10;18;38;360;2;7;2;2.96;FALSE
0.42;0;0.42;4;0;0;0.42;4.999;FALSE
3.57;12.5;78.57;464;0;5.36;46.43;0;FALSE
8.77;1.75;47.37;246;1.8;0;1.75;6.1765;TRUE
6.67;16.67;70;467;3.3;5;33.33;0;FALSE
8.79;2.2;50.55;253;2.2;0;1.1;6.31025;TRUE
2.25;14.61;34.83;281;1.1;7.87;16.85;0;FALSE
8.77;1.75;52.63;263;7;0;8.77;6.15925;TRUE
8.77;4.39;45.61;263;3.5;0;1.75;6.24825;TRUE
11.11;17.78;33.33;333;2.2;4.44;2.22;3.80225;FALSE
10;16.67;66.67;467;3.3;3.33;0;4.54375;FALSE
3.7;22.22;70.37;481;0;12.96;44.44;0;FALSE
0.83;0;0.42;4;0;0;0.42;5.0605;FALSE
8.08;3.54;50.51;263;2;0;1.01;6.04075;TRUE
3.23;16.13;67.74;419;0;8.06;32.26;0;FALSE
0.42;0;0.42;4;0;0;0.42;4.999;FALSE
2.25;14.61;30.34;258;1.1;7.87;11.24;0.3785;FALSE
3.12;14.06;68.75;406;3.1;7.81;31.25;0;FALSE
